SpriteSheet	SpriteName	English Naomi ver	EN Community Translation Ver	Zh-Hans	Zh-Hant	de	es	fr	hu	ja	ko	ru	pt-br	uk	it	th	tr	sv	sk
CoffeeBean_3	(SideHairA5_Gradient)	Hair Side 10 Colour	Hair Side 10	头发 侧面 10	頭髮 側面 10														
CoffeeBean_3	(SideHairA6_Color)	Hair Side 11 Colour	Hair Side 11	头发 侧面 11	頭髮 側面 11														
CoffeeBean_7	(HairbandBack2_Color)	Hairband D 2 Colour	Hairband D 2	发带 D 2	髮帶 D 2														
CoffeeBean_9	(NeckwearB1_Outline)	Outfit Neckwear B 2 Back Outline	Outfit Neckwear B Outline 2	服装 颈部装饰 B 轮廓 2	服裝 頸部裝飾 B 輪廓 2														
CoffeeBean_11	(HairClip3_Outline)	Hair Clip 3 Outline	Hair Clip Outline 3	发夹 轮廓 3	髮夾 輪廓 3														
CoffeeBean	(Bill2)	Money Emote Bill 2	Bill 2	钞票 2	鈔票 2														
CoffeeBean_10	(Volume)	Mute Emote Speaker	Sticker Volume	表情贴纸 音量	表情貼紙 音量														
CoffeeBean_4	(FrameHair_A1_Color)	Hair Framing 1 Colour	Hair Framing 1 	头发 脸颊 1 	頭髮 臉頰 1 														
CoffeeBean_4	(FrameHair_A1_Gradient)	Hair Framing 2 Colour	Hair Framing 1 	头发 脸颊 1 	頭髮 臉頰 1 														
CoffeeBean_4	(Pigtail_C2_Color)	Hair Pigtail 23 Colour	Hair Pigtail 23	头发 马尾 23	頭髮 馬尾 23														
CoffeeBean_4	(Pigtail_C2_Gradient)	Hair Pigtail 24 Colour	Hair Pigtail 24	头发 马尾 24	頭髮 馬尾 24														
CoffeeBean_10	(WingF1_Lower_Outline)	Wing 9 Lower Outline	Wing Outline 9 .2	翅膀 轮廓 9 .2	翅膀 輪廓 9 .2														
CoffeeBean_10	(Glasses_Frame3)	Glasses 3	Glasses 3	眼镜 3	眼鏡 3														
CoffeeBean_10	(WingA2_Outline)	Wing 2 Outline	Wing Outline 2	翅膀 轮廓 2	翅膀 輪廓 2														
CoffeeBean_6	(PalmarGlove1_Outline)	Greeting 1 Emote Hand 2 Glove Outline	Hand 2 .1	手 2 .1	手 2 .1														
