SpriteName	Zh-Hans
PhoneScreenPattern1	手机 屏幕 1
TailF2_Color	尾巴 16
LaptopLight1	电脑 屏幕光 1
AnimalEar7_Color	兽耳 7
AnimalEar9_Color	兽耳 9
HairBang7_Middle_Outline	头发 刘海 >< 轮廓 13 + 14
Hairband6_Color	发带 B 4
AnimalEar2_Back_Outline	兽耳轮廓 2 .1
HairClip1_Color	发夹 1
EarringB2_Outline	耳环 轮廓 7
Middle_Color	手 1 .7
AnimalEar5_Outline	兽耳轮廓 5
Hairband2_Color	发带 A 2
AnimalEar1_Front_Color	兽耳 1
Chopstick	筷子
AnimalEar2_Front_Color	兽耳 2
EarringB3_Outline	耳环 轮廓 8
TailF1_Color	尾巴 15
AnimalEar4_Color	兽耳 4
HairBang4_Side_Color	头发 刘海 7
SideHairB7_Gradient	头发 侧面 30
SideHairB1_Color	头发 侧面 17
FacialHair_A7_Color	胡子 A 7
HairClip4_Outline	发夹 轮廓 4
EarringB1_Outline	耳环 轮廓 6
Index_Color	手 1 .8
PiercingA5_Outline	耳钉 轮廓 5
TailF1_Outline	尾巴 轮廓 15
AnimalEar1_Fur_Outline	兽耳毛轮廓 1
TailE3_Color	尾巴 14
AnimalEar1_Back_Color	兽耳 1 .1
AnimalEar2_Fur_Outline	兽耳毛轮廓 2
CupSteam	咖啡杯 蒸汽
AnimalEar2_Back_Color	兽耳 2 .1
AnimalEar8_Color	兽耳 8
EarringB4_Outline	耳环 轮廓 9
FacialHair_A8_Outline	胡子 A 轮廓 8
SideHairB7_Color	头发 侧面 29
SideHairA4_Color	头发 侧面 7
SideHairB1_Gradient	头发 侧面 18
BackHair3_Color	头发 后侧 5
Pigtail_A5_Color	头发 马尾 9
Pigtail_A5_Gradient	头发 马尾 10
Pigtail_A2_Outline	头发 马尾 轮廓 3 + 4
HairShine6_Outline	头发 高光 轮廓 12
Antenna1_Outline	触角轮廓 1
AlertLike_Outline	表情贴纸 通知/提示 轮廓 4
FacialHair_A5_Outline	胡子 A 轮廓 5
Horn5_Outline	角 轮廓 5
FrameHair_A8_Color	头发 脸颊 15
FrameHair_A8_Gradient	头发 脸颊 16
FrameHair_Top_Color	头发 脸颊 top
HairBang5_Middle_Color	头发 刘海 >< 9
HairShine1_Outline	头发 高光 轮廓 2
WingG1_Inner_Outline	翅膀 轮廓 10 .2
VideoCamera	摄像机
FrameHair_A7_Gradient	头发 脸颊 14
FrameHair_A7_Color	头发 脸颊 13
Index_Outline	手 1 .9
Mouth	嘴
TailC3_Outline	尾巴 轮廓 10
Wing2_Outline	翅膀耳朵 轮廓 2
Wing1_Color	翅膀耳朵 轮廓 1
WingC1_Upper_Color	翅膀 轮廓 5 .1
Main7_Color	服装 里侧 7
HairHighlight3_Color	挑染 3 << + 3 >>
HairHighlight4_Outline	挑染 >< 轮廓 1 + 2
ErrorPopup	停止工作
TrashBinLid	垃圾桶 2
BackHair1_Outline	头发 后侧 轮廓 1 + 2
BackHair2_Outline	头发 后侧 轮廓 3 + 4
Horn6_Color	角 6
HairBang7_Middle_Color	头发 刘海 >< 13
little_Outline	手 1 .10
HornF1_Outline	角 前 轮廓 1
TailC2_Outline	尾巴 轮廓 9
Outer2_Outline	服装 外侧 轮廓 2
BackHair3_Outline	头发 后侧 轮廓 5 + 6
Tongue_Shadow	舌头 阴影
Blush	脸红
FacialHair_B5_Color	胡子 B 5 
Knife	馋(刀叉) 2
HairBang3_Side_Outline	头发 刘海 轮廓 5 + 6
HairBang5_Side_Outline	头发 刘海 轮廓 9 + 10
Horn7_Outline	角 轮廓 7
PopcornBucket	吃(爆米花) 1
Pigtail_A3_Outline	头发 马尾 轮廓 5 + 6
Collar7_Color	服装 领子 里侧 8
Hairband3_Color	发带 B 1
Hammer	锤子
TailE3_Outline	尾巴 轮廓 14
HairBang6_Side_Outline	头发 刘海 轮廓 11 + 12
HairBang2_Side_Outline	头发 刘海 轮廓 3 + 4
HairShine7_Outline	头发 高光 轮廓 14
EyepatchBandage_Color	眼罩 5 + 6
EyepatchBandage_Outline	眼罩轮廓 5 + 6
HairbandBack1_Color	发带 D 1
Hairband4_Outline	发带 B 轮廓 2
KeyboardKeyA	打字(普通) 1
Thumb_Outline	手 1 .11
FacialHair_B3_Color	胡子 B 3
Hairband2_Outline	发带 A 轮廓 2
HairbandBack1_Outline	发带 D 轮廓 1
TailB3_Color	尾巴 5
FrameHair_A7_Outline	头发 脸颊 轮廓 13 + 14
FrameHair_A10_Color	头发 脸颊 19
FrameHair_A10_Gradient	头发 脸颊 20
FrameHair_A11_Outline	头发 脸颊 轮廓 21 + 22
FrameHair_A9_Color	头发 脸颊 17
FacialHair_A3_Color	胡子 A 3
BackHair1_Color	头发 后侧 1
Laptop	电脑
SignRound	圆形标牌
HairBang1_Side_Color	头发 刘海 1
HairBang4_Side_Gradient	头发 刘海 8
HairBang5_Side_Color	头发 刘海 9
BackHair2_Color	头发 后侧 3
Pigtail_A6_Outline	头发 马尾 轮廓 11 + 12
Pigtail_A7_Outline	头发 马尾 轮廓 13 + 14
Watermelon	吃(西瓜)
Cheek2	脸颊 2
HairClip6_Color	发夹 6
Spoon	到达(拿勺子)
Tape	胶带
HatB2_Outline	帽子 轮廓 4
HairShine2_Outline	头发 高光 轮廓 4
HairBang1_Side_Gradient	头发 刘海 2
HairBang2_Side_Color	头发 刘海 3
HairBang5_Side_Gradient	头发 刘海 10
BackHair2_Gradient	头发 后侧 4
FrameHair_B3_Outline	头发 脸颊 轮廓 28
FaceFeatureC1	脸部特征 C 1
Pigtail_A8_Color	头发 马尾 15
NeckwearB4_Color	服装 颈部装饰 B 4
WingE1_Lower_Color	翅膀 8 .3
PhoneScreen	手机 屏幕 3
AngrySteam	表情贴纸 气
Outer1_Color	服装 外侧 1
SideHair_Branch_C2_Outline	头发 侧面分叉 C 轮廓 2
Hairband4_Color	发带 B 2
Pigtail_A3_Color	头发 马尾 5
BackHair3_Gradient	头发 后侧 6
HairBang2_Side_Gradient	头发 刘海 4
PixelSunglasses	像素太阳镜
HatB1_Color	帽子 3
FacialHair_B3_Outline	胡子 B 轮廓 3
CapeBack1_Color	披风 后 1
HairShine1_Color	头发 高光 1 + 2
Palmar_Color	手 1 .12
Ahoge_B1_Color	头发呆毛5
HatA2_Outline	帽子 轮廓 2
Pigtail_A5_Outline	头发 马尾 轮廓 9 + 10
Pigtail_A3_Gradient	头发 马尾 6
HairBang3_Side_Color	头发 刘海 5
HairBang3_Side_Gradient	头发 刘海 6
HairShine4_Outline	头发 高光 轮廓 8
BackHair1_Gradient	头发 后侧 2
SignSquare	方形标牌
Horn4_Outline	角 4
PonytailB1_Gradient	头发 单马尾 12
PonytailB1_Color	头发 单马尾 11
FrameHair_A1_Outline	头发 脸颊 轮廓 1 + 2
Collar7_Outline	服装 领子 轮廓 8
NeckwearA3_Outline	服装 颈部装饰 A 轮廓 3
NeckwearA2_Outline	服装 颈部装饰 A 轮廓 2
TailA1_Outline	尾巴 轮廓 1
Horn3_Outline	角 轮廓 3
Pigtail_A8_Gradient	头发 马尾 16
SunglassesReflection	太阳镜反光
NeckwearA6_Color	服装 颈部装饰 A 6
Tie2_Outline	服装 颈部装饰 C 轮廓 2
Halo4_Color	光环 5 + 6
FrameHair_A6_Color	头发 脸颊 11
Middle_Outline	手 1 .13
RedPacketCoin2	红包 3
NeckwearB5_Color	服装 颈部装饰 B 5
Eye1_HighlightCry	眼睛 1 | 哭
Collar3_Color	服装 领子 里侧 3
TailC3_Color	尾巴 10
ElfEar_Color	耳朵 1.1
Surprise	表情贴纸 惊吓
Gill3_Outline	腮 轮廓 1 .3
Pigtail_A4_Gradient	头发 马尾 8
Pigtail_A1_Color	头发 马尾 1
Eye_U	睡觉 (UU)
Cockroach	蟑螂
Halo3_Outline	光环 轮廓 3
Wing3_Outline	翅膀耳朵 轮廓 3
Halo4_Outline	光环 轮廓 5 + 6
Wing3_Color	翅膀耳朵 3
WingD1_Outline	翅膀 轮廓 6
FacialHair_A1_Color	胡子 A 1
Ghost	表情贴纸 幽灵
Hairband7_Outline	发带 C 轮廓 1
Horn6_Outline	角 轮廓 6
HairHighlight3_Outline	挑染 轮廓 3 << + 3 >>
Glasses_Frame2	眼镜 2
NeckwearA4_Outline	服装 颈部装饰 A 轮廓 4
Ear_Color	耳朵 1
HatB2_Color	帽子 4
FacialHair_A4_Outline	胡子 A 轮廓 4
PonytailB1_Outline	头发 单马尾 轮廓 11 + 12
Collar1_Color	服装 领子 里侧 1
CapeBack3_Outline	披风 后 | 披风 轮廓 3
Pigtail_A1_Outline	头发 马尾 轮廓 1 + 2
Tie2_Color	服装 颈部装饰 C 2
TailE1_Color	尾巴 12
PatHand	摸头手
Main6_Outline	服装 里侧 轮廓 6
Pigtail_A6_Color	头发 马尾 11
Card	反转
FacialHair_A8_Color	胡子 A 8
CapeBack2_Outline	披风 后 | 披风 轮廓 2
CapeFront6_Color	披风 前 6
PonytailB2_Gradient	头发 单马尾 14
Megaphone	扩音器
Glasses_Frame1	眼镜 1
Pigtail_B1_Outline	头发 马尾 轮廓 17 + 18
Eye1_Dollar	眼睛 钱 1 + 2
FaceFeatureA1	脸部特征 A 1
Eye1_Heart	眼睛 爱心 1 + 2
Collar2_Color	服装 领子 里侧 2
Pigtail_A6_Gradient	头发 马尾 12
FrameHair_B3_Gradient	头发 脸颊 28
FrameHair_B3_Color	头发 脸颊 27
FrameHair_TopBack_Outline	头发 脸颊 top 轮廓 2
Horn5_Color	角 5
